tweet_id,time,day,month,year,text,name,expanded_urls,rating_numerator,rating_denominator,retweet_count,favorite_count,dog_stage,jpg_url,img_num,prediction,breed,score,is_dog
892420643555336193,16:23:56,1,august,2017,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.  ,Phineas,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,8853.0,39467.0,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,p1,orange,0.0970486,False
892177421306343426,00:17:27,1,august,2017,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",Tilly,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,6514.0,33819.0,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,p1,Chihuahua,0.323581,True
891815181378084864,00:18:03,31,july,2017,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,Archie,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,4328.0,25461.0,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,p1,Chihuahua,0.716012,True
891689557279858688,15:58:51,30,july,2017,This is Darla. She commenced a snooze mid meal.  happens to the best of us ,Darla,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,8964.0,42908.0,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,p2,Labrador_retriever,0.1680859999999999,True
891327558926688256,16:00:24,29,july,2017,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.   ",Franklin,https://twitter.com/dog_rates/status/891327558926688256/photo/1,12,10,9774.0,41048.0,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,p1,basset,0.555712,True
891087950875897856,00:08:17,29,july,2017,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo)  ,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,3261.0,20562.0,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,p1,Chesapeake_Bay_retriever,0.425595,True
890971913173991426,16:27:12,28,july,2017,"Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below

https://t.co/tVJBRMnhxl",Jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1,13,10,2158.0,12041.0,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,p1,Appenzeller,0.341703,True
890729181411237888,00:22:40,28,july,2017,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13,10,16716.0,56848.0,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,p1,Pomeranian,0.566142,True
890609185150312448,16:25:51,27,july,2017,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.   ,Zoey,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,4429.0,28226.0,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,p1,Irish_terrier,0.4875739999999999,True
890240255349198849,15:59:51,26,july,2017,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,Cassie,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,7711.0,32467.0,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,p1,Pembroke,0.511319,True
